Unnamed: 0,country,designation,points,price,price_GBP
5094,Chile,Guardián Reserva,86,10.0,12.0
5095,Chile,Limited Edition,86,20.0,24.0
5100,Chile,Max Reserva,86,20.0,24.0
5104,Chile,Pequeñas Producciones Estate Bottled,86,41.0,49.2
5107,Chile,Natura,86,11.0,13.2
5131,Chile,Don Melchor Puente Alto Vineyard,92,120.0,144.0
5140,Chile,Royale Los Lingues Vineyard,92,26.0,31.2
5277,Chile,Boya,88,18.0,21.6
5437,Chile,Grey [Glacier] Single Block,88,20.0,24.0
5467,Chile,Corralillo,86,20.0,24.0
5472,Chile,Reserva,86,15.0,18.0
5478,Chile,Sepia Reserva,86,12.0,14.4
5484,Chile,Tributo Single Vineyard Block #Algarrobo,86,16.0,19.2
5515,Chile,Gran Reserva Estate Bottled,83,20.0,24.0
5518,Chile,Reserva Espiritu de Los Andes Estate Bottled,83,12.0,14.4
5519,Chile,Reserva Encinos,83,12.0,14.4
5521,Chile,Reserve,83,12.0,14.4
5522,Chile,,83,8.0,9.6
5530,Chile,Coastal Cool Climate Estate Bottled Cabernet Franc,82,17.0,20.4
5532,Chile,,82,9.0,10.8
5533,Chile,Classic Series,82,13.0,15.6
5535,Chile,Estate,82,16.0,19.2
5538,Chile,Grand Reserve,82,15.0,18.0
5542,Chile,Select Terroir,82,10.0,12.0
5595,Chile,EQ,88,20.0,24.0
5597,Chile,Orzada,88,20.0,24.0
5602,Chile,,88,12.0,14.4
5614,Chile,Nimbus Single Vineyard,88,13.0,15.6
5768,Chile,Max Reserva,92,20.0,24.0
5875,Chile,Gran Reserva,88,20.0,24.0
5949,Chile,,84,13.0,15.6
5950,Chile,Estate Bottled,84,7.0,8.4
5951,Chile,Reserva,84,17.0,20.4
5979,Chile,Coastal Cool Climate Wine Single Vineyard,87,17.0,20.4
5982,Chile,Nimbus Single Vineyard,87,15.0,18.0
6021,Chile,Cholqui,90,40.0,48.0
6155,Chile,Kuyen,89,30.0,36.0
6244,Chile,,90,25.0,30.0
6246,Chile,Grey Glacier Single Block Trinidad Vineyard,90,24.0,28.8
6541,Chile,Clava Reserve,85,15.0,18.0
6543,Chile,Reserve,85,10.0,12.0
6548,Chile,Cefiro Reserva,85,12.0,14.4
6552,Chile,Reserva,85,10.0,12.0
6553,Chile,Ventura Reserve,85,16.0,19.2
6554,Chile,Sepia Reserva,85,12.0,14.4
6555,Chile,Reserva Sepia,85,12.0,14.4
6556,Chile,Reserva,85,14.0,16.8
6558,Chile,Reserva,85,12.0,14.4
6562,Chile,Marques de Casa Concha,85,25.0,30.0
6564,Chile,Rosé,85,18.0,21.6
6568,Chile,Estate Reserve,85,10.0,12.0
6602,Chile,Reserva Merlot-Carmenère-Cabernet Sauvignon,86,15.0,18.0
6605,Chile,Block Selection Limari Reserve,86,11.0,13.2
6656,Chile,El Olivar Alto Single Vineyard,90,25.0,30.0
6709,Chile,D,91,60.0,72.0
6779,Chile,Antu Mountain Vineyard,89,20.0,24.0
6911,Chile,Viu 1,93,70.0,84.0
6973,Chile,Reserva,86,11.0,13.2
6981,Chile,Reserva Estate Bottled,86,10.0,12.0
6995,Chile,Alpha,89,25.0,30.0
7012,Chile,Marques de Casa Concha,89,23.0,27.6
7087,Chile,Winemaker's Selection Single Vineyard,82,20.0,24.0
7091,Chile,Pink Goat,81,13.0,15.6
7092,Chile,Brut,81,12.0,14.4
7096,Chile,Los Vascos,80,12.0,14.4
7132,Chile,Reserva,88,13.0,15.6
7135,Chile,Gran Reserva,88,15.0,18.0
7146,Chile,Grapes Organically Grown,84,13.0,15.6
7152,Chile,Indo,84,11.0,13.2
7255,Chile,Bravado,89,20.0,24.0
7262,Chile,,89,25.0,30.0
7270,Chile,Grand Reserve,89,15.0,18.0
7449,Chile,Gran Devoción,86,18.0,21.6
7457,Chile,Gran Reserva,86,35.0,42.0
7458,Chile,,86,10.0,12.0
7463,Chile,Canto Sur,86,15.0,18.0
7465,Chile,Reserva Terroir La Higuera,86,12.0,14.4
7546,Chile,,87,12.0,14.4
7572,Chile,Wetland Winemaker's Selection,85,8.0,9.6
7577,Chile,Special Reserve,85,19.0,22.8
7585,Chile,Estate Selection,85,13.0,15.6
7591,Chile,Los Vascos,83,10.0,12.0
7594,Chile,,83,7.0,8.4
7595,Chile,,83,6.0,7.199999999999998
7596,Chile,Estate Bottled,83,6.0,7.199999999999998
7601,Chile,Reserve,83,15.0,18.0
7602,Chile,Estate Bottled,83,8.0,9.6
7603,Chile,,83,9.0,10.8
7604,Chile,Jardin,83,9.0,10.8
7605,Chile,Gato Negro,83,5.0,6.0
7610,Chile,CLB Reserve,82,14.0,16.8
7612,Chile,San Francisco de Mostazal Reserva Especial,82,8.0,9.6
7659,Chile,Reserve,85,14.0,16.8
7885,Chile,Herú,84,45.0,54.0
7886,Chile,Cefiro Reserva,84,12.0,14.4
7900,Chile,Reserva,84,12.0,14.4
7953,Chile,Axel,88,20.0,24.0
8040,Chile,Reserva,86,12.0,14.4
8041,Chile,Ona Special Reserve Cabernet Sauvignon-Carmenere-Syrah,86,19.0,22.8
8046,Chile,Cefiro Reserva,86,12.0,14.4
8068,Chile,Rivalta Limited Selection,91,85.0,102.0
8072,Chile,Lukai,91,71.0,85.2
8076,Chile,Max Reserva,91,20.0,24.0
8077,Chile,Reserve Assemblage Carmenère-Syrah-Cabernet Sauvignon,91,19.0,22.8
8157,Chile,Reserva Especial,87,15.0,18.0
8164,Chile,Reserva,87,13.0,15.6
8165,Chile,1234 Reserva,87,15.0,18.0
8184,Chile,Alpha M,92,95.0,114.0
8186,Chile,Don Maximiano Founder's Reserva,91,90.0,108.0
8187,Chile,La Cumbre,91,80.0,96.0
8233,Chile,,92,75.0,90.0
8238,Chile,Serie Riberas Gran Reserva Ribera del Cachapoal,89,18.0,21.6
8257,Chile,,89,20.0,24.0
8273,Chile,,88,12.0,14.4
8276,Chile,Block Selection Reserve,88,11.0,13.2
8328,Chile,Late Harvest,87,13.0,15.6
8333,Chile,Nimbus Single Vineyard,87,15.0,18.0
8363,Chile,Reserva,87,11.0,13.2
8394,Chile,Don Maximiano Founder's Reserve,92,95.0,114.0
8415,Chile,Coastal Cool Climate Single Vineyard,85,19.0,22.8
8418,Chile,Brut,85,18.0,21.6
8427,Chile,Quinteto Coastal Cool Climate,85,16.0,19.2
8429,Chile,Pedriscal Vineyard Reserva,85,23.0,27.6
8430,Chile,Gran Aracauno,85,35.0,42.0
8433,Chile,B,85,39.0,46.8
8435,Chile,Gran Reserva,85,15.0,18.0
8467,Chile,EQ,88,20.0,24.0
8469,Chile,Orzada,88,20.0,24.0
8472,Chile,Alpha,88,24.0,28.8
8473,Chile,Reserva,88,12.0,14.4
8481,Chile,Family Reserva,88,18.0,21.6
8542,Chile,La Joya Gran Reserva,87,15.0,18.0
8544,Chile,Isidora,87,15.0,18.0
8575,Chile,20 Barrels,93,35.0,42.0
8578,Chile,Aliara,89,35.0,42.0
8589,Chile,Orzada,89,20.0,24.0
8603,Chile,Alcance,88,15.0,18.0
8610,Chile,Vitral Reserva,86,13.0,15.6
8613,Chile,Reserva,86,11.0,13.2
8697,Chile,Laurel Vineyard,88,25.0,30.0
8720,Chile,Visión,88,15.0,18.0
8723,Chile,Estate,88,14.0,16.8
8759,Chile,The Blend Collection,89,45.0,54.0
8762,Chile,Grande Reserve,89,18.0,21.6
8934,Chile,Orzada,91,20.0,24.0
8940,Chile,Parras Viejas,89,39.0,46.8
8955,Chile,Gran Reserva Cuvée,89,20.0,24.0
8956,Chile,Alazan,89,32.0,38.4
8963,Chile,T.H. Alto Maipo,89,25.0,30.0
9029,Chile,Auma Los Lingues,91,100.0,120.0
9034,Chile,Private Syrah-Cabernet Sauvignon-Carmenere,91,30.0,36.0
9037,Chile,Laku Hijo del Sol The Final Blend,91,60.0,72.0
9038,Chile,Terrunyo Entre Cordilleras Peumo Vineyard Block 27,91,50.0,60.0
9045,Chile,VSC,91,40.0,48.0
9058,Chile,Secano Dry Farmed,89,40.0,48.0
9070,Chile,Block Series Reserva Especial,89,20.0,24.0
9071,Chile,Alcaparral,89,21.0,25.2
9130,Chile,Lien,90,30.0,36.0
9135,Chile,,84,12.0,14.4
9139,Chile,Single Vineyard,83,18.0,21.6
9147,Chile,Reserva,83,14.0,16.8
9148,Chile,,83,12.0,14.4
9149,Chile,,83,12.0,14.4
9152,Chile,Selección,83,12.0,14.4
9154,Chile,,83,10.0,12.0
9156,Chile,Reserve,83,15.0,18.0
9194,Chile,,86,9.0,10.8
9196,Chile,,86,9.0,10.8
9199,Chile,Reserva,86,12.0,14.4
9202,Chile,Los Vascos,86,14.0,16.8
9205,Chile,La Joya Reserve,86,11.0,13.2
9208,Chile,,86,14.0,16.8
9210,Chile,Casa,86,12.0,14.4
9213,Chile,Gold Reserve,86,14.0,16.8
9268,Chile,Select Terroir,86,9.0,10.8
9269,Chile,Über Cuvée,86,15.0,18.0
9295,Chile,Tectonia,92,20.0,24.0
9297,Chile,Edicion Limitada,92,33.0,39.6
9301,Chile,Edición Limitada,92,25.0,30.0
9309,Chile,Borobo,92,85.0,102.0
9332,Chile,,89,20.0,24.0
9333,Chile,,89,26.0,31.2
9344,Chile,,89,20.0,24.0
9350,Chile,La Capilla Single Vineyard,89,25.0,30.0
9467,Chile,Nimbus Estate Single Vineyard,87,12.0,14.4
9485,Chile,Chamán Gran Reserva,87,20.0,24.0
9488,Chile,Red Wine,88,12.0,14.4
9505,Chile,Legado Reserva,87,16.0,19.2
9508,Chile,Hacienda Araucano Reserva,87,11.0,13.2
9562,Chile,Enclave,93,70.0,84.0
9627,Chile,Petirrojo Reserva,85,8.0,9.6
9628,Chile,Puerto Viejo Single Vineyard Reserve Estate Bottled,85,10.0,12.0
9631,Chile,Coastal Cool Climate Single Vineyard,85,18.0,21.6
9643,Chile,Los Vascos Cabernet Sauvignon,85,13.0,15.6
9644,Chile,Reserva,85,9.0,10.8
9648,Chile,Petirrojo Reserva,85,8.0,9.6
9650,Chile,Reserva,85,15.0,18.0
9838,Chile,120 Reserva Especial Hero's,86,8.0,9.6
9841,Chile,Aliwen Reserva,86,,
9978,Chile,Cuvée Alexandre Atalayas Vineyard,89,24.0,28.8
9979,Chile,Ecos de Rulo,89,19.0,22.8
9982,Chile,Limited Selection,89,20.0,24.0
9986,Chile,,89,19.0,22.8
10010,Chile,Perla Negra,91,61.0,73.2
10127,Chile,Reserva,86,12.0,14.4
10233,Chile,EQ,91,40.0,48.0
10248,Chile,Gravas del Maipo,91,200.0,240.0
10253,Chile,Facundo,91,35.0,42.0
10318,Chile,Altazor,91,60.0,72.0
10326,Chile,Alto de Piedras Single Vineyard,90,45.0,54.0
10413,Chile,1865 Single Vineyard,91,18.0,21.6
10485,Chile,Los Vascos Grande Reserve,90,20.0,24.0
10510,Chile,,87,10.0,12.0
10513,Chile,Reserva,87,11.0,13.2
10529,Chile,El Alto,90,45.0,54.0
10539,Chile,Gran Corte,90,45.0,54.0
10550,Chile,Tectonia,89,20.0,24.0
10567,Chile,Cefiro Reserva,84,13.0,15.6
10573,Chile,Estate,84,15.0,18.0
10577,Chile,Momentos Reserva,84,11.0,13.2
10741,Chile,El Recurso Single Vineyard Block N°18,91,20.0,24.0
10801,Chile,Wave Series Left Wave,85,10.0,12.0
10822,Chile,Hacienda Araucano Reserva,85,12.0,14.4
10824,Chile,120,85,8.0,9.6
11014,Chile,Medalla Real Gran Reserva,87,18.0,21.6
11017,Chile,Gran Reserva,87,18.0,21.6
11090,Chile,,93,87.0,104.4
11097,Chile,,92,60.0,72.0
11102,Chile,Winemaker's Reserve,91,40.0,48.0
11119,Chile,Grand Reserve,87,18.0,21.6
11252,Chile,Tralca,88,70.0,84.0
11253,Chile,El Olivar Alto Single Vineyard,88,25.0,30.0
11283,Chile,Serie Riberas Gran Reserva Ribera del Tinguirica,86,18.0,21.6
11287,Chile,Classic Collection Unwooded,86,10.0,12.0
11411,Chile,Lot #55 Sauzal Vineyard Carignan-Garnacha-Mataró Field-Blend,91,39.0,46.8
11435,Chile,T.H. Terroir Hunter,91,24.0,28.8
11485,Chile,Payen,92,60.0,72.0
11517,Chile,Ecos de Rulo,86,,
11518,Chile,Albamar,86,11.0,13.2
11618,Chile,,85,11.0,13.2
11626,Chile,Los Vascos,85,13.0,15.6
11629,Chile,Reserva,85,10.0,12.0
11631,Chile,,85,16.0,19.2
11634,Chile,Special Reserve,85,15.0,18.0
11638,Chile,Casa Grand Selection,85,12.0,14.4
11643,Chile,Alba,85,10.0,12.0
11644,Chile,Vénere,87,70.0,84.0
11650,Chile,Marques de Casa Concha,87,26.0,31.2
11661,Chile,Gran Reserva Corte,87,17.0,20.4
11662,Chile,Medalla Real Gran Reserva,87,18.0,21.6
11674,Chile,Grand Reserve Selected Vineyards,87,20.0,24.0
11697,Chile,Reserve,86,10.0,12.0
11698,Chile,Gran Reserva Corte,86,20.0,24.0
11701,Chile,La Joya Gran Reserva,86,11.0,13.2
11702,Chile,Marea,90,25.0,30.0
11719,Chile,,90,80.0,96.0
11788,Chile,Lucero,87,20.0,24.0
11810,Chile,Reserva,86,13.0,15.6
11832,Chile,Reserva Estate Bottled,88,12.0,14.4
11833,Chile,Marques de Casa Concha,88,26.0,31.2
11837,Chile,Elements Cabernet Sauvignon-Petit Verdot-Carignan-Carmenere,88,30.0,36.0
11846,Chile,Equilibrio Made With Organically Grown Grapes,84,12.0,14.4
11864,Chile,Gran Reserva,84,14.0,16.8
11892,Chile,T.H. Terroir Hunter Rarities País-Cinsault La Soledad,90,30.0,36.0
11893,Chile,Éclat Vigno Old Vine Dry-Farmed,90,35.0,42.0
11971,Chile,120,85,9.0,10.8
11973,Chile,,85,10.0,12.0
11985,Chile,El Conde Gran Reserva,85,15.0,18.0
11988,Chile,Las Mulas Reserva,85,14.0,16.8
11993,Chile,Sepia Reserva,85,12.0,14.4
11997,Chile,Oscar,85,13.0,15.6
11998,Chile,Hacienda Araucano Reserva,85,11.0,13.2
12181,Chile,,84,10.0,12.0
12182,Chile,Sustainable Agriculture,84,13.0,15.6
12196,Chile,Castillo de Molina Reserva,84,12.0,14.4
12365,Chile,Justo,85,17.0,20.4
12370,Chile,,85,14.0,16.8
12379,Chile,Reserva Estate Bottled,85,12.0,14.4
12389,Chile,Tama Vineyard Selection,87,16.0,19.2
12414,Chile,Medalla Real Gran Reserva,87,18.0,21.6
12432,Chile,Microterroir de Los Lingues,87,48.0,57.6
12435,Chile,Gran Reserva Maipo Alto,87,15.0,18.0
12436,Chile,Reserva,87,12.0,14.4
12480,Chile,Cholqui,86,26.0,31.2
12488,Chile,Grand Reserve,86,18.0,21.6
12504,Chile,Novas Gran Reserva,86,16.0,19.2
12558,Chile,Reserva,87,11.0,13.2
12576,Chile,Gran Reserva,87,14.0,16.8
12577,Chile,Reserva 1234,87,15.0,18.0
12693,Chile,Toro de Piedra Gran Reserva Single Vineyard,84,15.0,18.0
12698,Chile,Unfiltered,84,28.0,33.6
12701,Chile,,84,14.0,16.8
12706,Chile,Estate,84,15.0,18.0
12737,Chile,Urban Maule,88,14.0,16.8
12744,Chile,Albamar,85,11.0,13.2
12752,Chile,Eco Balance,85,9.0,10.8
12753,Chile,1865 Limited Edition,85,25.0,30.0
12754,Chile,Amalia,85,40.0,48.0
12942,Chile,VSC Assemblage,94,40.0,48.0
12971,Chile,Barrel Select,84,12.0,14.4
12973,Chile,Ona Special Reserve Riesling-Chardonnay-Viognier,84,17.0,20.4
12974,Chile,Reserva,84,13.0,15.6
12988,Chile,Select Terroir Unoaked,84,10.0,12.0
12989,Chile,Reserva,84,13.0,15.6
12990,Chile,Reserve,84,11.0,13.2
12994,Chile,Gran Reserva,83,15.0,18.0
12997,Chile,,83,12.0,14.4
12999,Chile,Reserva Sauvignon Blanc-Carmenère,83,11.0,13.2
13100,Chile,Axel,89,20.0,24.0
13147,Chile,Estate Bottled,84,7.0,8.4
13153,Chile,Reserva,84,11.0,13.2
13171,Chile,Reserva,87,12.0,14.4
13177,Chile,Aliwen Reserva,87,13.0,15.6
13180,Chile,Enki,87,30.0,36.0
13208,Chile,Gran Reserva Corte,86,20.0,24.0
13211,Chile,La Joya Gran Reserva,86,14.0,16.8
13253,Chile,,89,23.0,27.6
13259,Chile,Reserva Privada,89,19.0,22.8
13266,Chile,,89,20.0,24.0
13316,Chile,Gran Reserva,90,17.0,20.4
13332,Chile,Catalina,90,50.0,60.0
13407,Chile,Eco Balance,86,9.0,10.8
13411,Chile,1865 Single Vineyard,86,19.0,22.8
13438,Chile,Alazan,90,28.0,33.6
13440,Chile,Folly,90,82.0,98.4
13450,Chile,Triple C,90,56.0,67.2
13457,Chile,,90,55.0,66.0
13458,Chile,Finis Terrae,89,19.0,22.8
13508,Chile,Gran Reserva,85,,
13518,Chile,Edición Limitada,85,23.0,27.6
13552,Chile,Estate,85,8.0,9.6
13565,Chile,Gran Reserva,84,14.0,16.8
13572,Chile,Estate,84,10.0,12.0
13576,Chile,Medalla Real Gran Reserva,87,20.0,24.0
13578,Chile,Armador,87,13.0,15.6
13579,Chile,Armador,87,13.0,15.6
13603,Chile,,84,10.0,12.0
13604,Chile,Ona Special Reserve Chardonnay-Viognier-Riesling,84,19.0,22.8
13609,Chile,Edición Limitada,84,35.0,42.0
13621,Chile,3 Generaciones,84,7.0,8.4
13622,Chile,Reserva,84,14.0,16.8
13623,Chile,Casillero del Diablo Reserva,84,12.0,14.4
13709,Chile,Royale,90,26.0,31.2
13712,Chile,Gran Reserva,90,17.0,20.4
13724,Chile,Single Vineyard,90,22.0,26.4
